Reference, Value, Footprint, Datasheet, Field4, Datasheet 2, Arrow Part Number, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, sticazzi
"C15","22u 25V","Capacitors_Tantalum_SMD:CP_Tantalum_Case-D_EIA-7343-31_Hand","https://www.mouser.it/datasheet/2/212/1/KEM_T2005_T491-1093550.pdf","T491D226K025AT","","","","","","","","",""
"C14","4700pF 25V","Capacitors_SMD:C_0805",""
"J3","1877285-5","MyLibraries:TE_1877285-5_05x3.96mm_Straight","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1877285&DocType=Customer+Drawing&DocLang=English&PartCntxt=1877285-5&DocFormat=pdf"
"C17","0.1u 25V","Capacitors_SMD:C_0805",""
"C16","0.1u 10V","Capacitors_SMD:C_0603",""
"C18","22u 10V","Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Hand","https://www.mouser.it/datasheet/2/40/TPS_AUTO-845414.pdf","TPSB226M010R0400","","","","","","","","",""
"C19","220p","Capacitors_SMD:C_0603",""
"R8","100r","Resistors_SMD:R_0603",""
"RS1","0.2500, 1%","Resistors_SMD:R_1210","https://it.farnell.com/walsin/ww20pr250ftl/res-film-spesso-0r25-1-200v-2010/dp/2503098?st=0.25%20OHM%201%25"
"C13","4700pF 25V","Capacitors_SMD:C_0805",""
"C21","1u 25V","Capacitors_SMD:C_0805",""
"J2","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","~"
"C26","100n","Capacitors_SMD:C_0603","~"
"R17","3K5_1%","Resistors_SMD:R_0603","~"
"R18","10k_1%","Resistors_SMD:R_0603","~"
"C25","10u","Capacitors_SMD:C_0603","~"
"L5"," BLM18PG471SN1 ","Inductors_SMD:L_0603","~"
"J6","Conn_01x03","Connectors_Phoenix:PhoenixContact_MCV-G_03x3.81mm_Vertical","~"
"D5","LED","LEDs:LED_1206","~"
"R19","330R","Resistors_SMD:R_0603","~"
"C27","100n","Capacitors_SMD:C_0603","~"
"RV1","R_POT_Small","Potentiometers:Potentiometer_Trimmer_ACP_CA6h_Vertical","https://www.mouser.it/datasheet/2/18/12-PT10v03-1499201.pdf","PT10MV10-103A2020-PM-S","","","","","","","","",""
"C24","100n","Capacitors_SMD:C_0603","~"
"U4","LTV-816","Housings_DIP:SMDIP-4_W9.53mm","https://www.mouser.it/datasheet/2/239/LTV-8x6-1175385.pdf","LTV-816S","","","","","","","","",""
"R16","10K_1%","Resistors_SMD:R_0603","~"
"C23","10u","Capacitors_SMD:C_0603","~"
"D4","LED","LEDs:LED_1206","~"
"D3","D_Bridge_AA+-","MyLibraries:SLDBS-4","https://www.mouser.it/datasheet/2/345/sldb101s-sldb107s-36378.pdf","SLDB107S","","","","","","","","",""
"R14","196k","Resistors_SMD:R_1206",""
"R13","196k","Resistors_SMD:R_1206",""
"R15","2k, 1%","Resistors_SMD:R_0603",""
"J5","Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~"
"L2"," BLM18PG471SN1 ","Inductors_SMD:L_0603","~"
"J10","KF128-5.0-3P","Connectors_Molex:Molex_KK-41791-03_03x3.96mm_Straight","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1123724&DocType=Customer+Drawing&DocLang=English&PartCntxt=1-1123724-2&DocFormat=pdf","1-1123724-2","","","","","","","","",""
"J7","Conn_01x02","Wire_Pads:SolderWirePad_2x_1-5mmDrill","~"
"J4","Conn_01x02","Wire_Pads:SolderWirePad_2x_1-5mmDrill","~"
